id;title;maker;culture;period;creation_date;object_name;medium;description;credit_line;filename;dimensions;element_type;size_s_m_l
18314;Unidentified man;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_115.jpg;H: 10 in; W: 8 in
21834;Unidentified man;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_116.jpg;H: 10 in; W: 8 in
18744;Man wearing hat;Andy Warhol;;;1982;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_117.jpg;H: 8 in; W: 10 in
17385;Jon Gould;Andy Warhol;;;1982;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_118.jpg;H: 8 in; W: 10 in
18437;Unidentified man;Andy Warhol;;;1982;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_119.jpg;H: 10 in; W: 8 in
18438;Robyn Geddes and Unidentified man;Andy Warhol;;;after February 1978;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_120.jpg;H: 10 in; W: 8 in
17386;Dr. Robert Giller and Catherine Guinness;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_121.jpg;H: 8 in; W: 10 in
21835;Ina Ginsburg and Unidentified man;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_123.jpg;H: 8 in; W: 10 in
18215;Jon Gould and Christopher Makos;Andy Warhol;;;1981-1983;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_124.jpg;H: 8 in; W: 8 in
21836;Jon Gould and Unidentified woman;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_125.jpg;H: 10 in; W: 8 in
21837;Jill Zilkha and Unidentified boy;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_126.jpg;H: 10 in; W: 8 in
18495;Jill Zilkha and Unidentified boy;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_127.jpg;H: 10 in; W: 8 in
18216;John Samuels IV and Henry Geldzahler;Andy Warhol;;;December 1980;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_128.jpg;H: 8 in; W: 10 in
18217;Unidentified man and woman;Andy Warhol;;;March 1981;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_129.jpg;H: 8 in; W: 10 in
17387;Whitney Tower and Jon Gould;Andy Warhol;;;1982;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_130.jpg;H: 8 in; W: 10 in
18936;Children;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_131.jpg;H: 8 in; W: 10 in
21838;Children;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_132.jpg;H: 8 in; W: 10 in
18496;Helen Gurley Brown and Unidentified people;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_133.jpg;H: 8 in; W: 10 in
17389;Unidentified men and women;Andy Warhol;;;November 1980;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_140.jpg;H: 8 in; W: 10 in
18316;Unidentfied models;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_141.jpg;H: 8 in; W: 10 in
18498;Pierre Berge;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_142.jpg;H: 8 in; W: 10 in
17329;John Samuels IV;Andy Warhol;;;after February 1979;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_110.jpg;H: 10 in; W: 8 in
18499;Martha Graham and Unidentified men and women;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_143.jpg;H: 8 in; W: 10 in
18317;Landscape;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_145.jpg;H: 8 in; W: 10 in
18747;People on the street;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_146.jpg;H: 8 in; W: 10 in
18937;Buildings;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_147.jpg;H: 10 in; W: 8 in
18348;House with shingles;Andy Warhol;;;October 1980;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_148.jpg;H: 8 in; W: 10 in
18748;Buildings;Andy Warhol;;;1983;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_149.jpg;H: 8 in; W: 10 in
18938;Catherine Guinness and Jed Johnson in Colorado;Andy Warhol;;;December 1979?;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_150.jpg;H: 10 in; W: 8 in
17442;Table setting;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_151.jpg;H: 8 in; W: 10 in
17443;Truck;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_152.jpg;H: 8 in; W: 10 in
18218;Boat;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_153.jpg;H: 10 in; W: 8 in
18500;Signage;Andy Warhol;;;undated;photograph;black and white photograph;;Gift of The Andy Warhol Foundation for the Visual Arts; Inc.;M_2008_2_154.jpg;H: 8 in; W: 10 in
